,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,counter
0,5,True,3068,3748,0,1006,3211,3111,3340,3,3,15,2,1,1,1213,0,0,0,0,0,129034,53838,61338,13857,0,16237,7536,7853,847,577,2,30433,4168,1076,29,28,20542,7025,12044,1472,11442,9175,0,0,179,24,8,8,233,16,3,0,12,4,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8360,14,0,0,8304,10,3,0,8316,2567,0,0,8347,0,0,0,8126,746,0,0,8106,5,0,0,8300,8100,5005,5002,5002,1
1,10,True,3075,3068,0,3111,3194,0,3340,6,0,8,6,1,1,0,0,0,0,0,0,90032,53435,31665,4931,51,12501,6725,5254,521,2415,1,22498,2937,1824,40,32,10795,2004,8705,86,11332,10575,1,0,145,4,0,4,305,17,7,0,17,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8437,875,606,0,8401,528,0,0,8444,988,0,0,8453,245,1141,0,8126,602,0,0,8106,5,0,0,8400,8100,5005,5002,5002,1
2,5,True,1054,3076,3068,3047,3010,2055,3340,4,1,4,4,1,1,268,0,0,0,0,0,47887,22225,25662,0,11,7775,4591,3183,0,2054,1,9091,717,717,10,14,7665,780,5987,897,6622,6600,0,0,113,0,0,0,226,12,2,0,6,1,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,271,0,0,9111,677,160,0,9104,15,20,0,8299,220,0,0,8453,231,5,0,8473,504,0,0,8000,8400,5005,5008,5002,1
3,5,True,1054,3078,0,3053,3047,1036,3340,6,3,4,4,1,2,510,0,0,0,0,0,105459,0,87014,18444,0,12203,0,10712,1491,3094,1,18685,5746,2379,20,21,21590,7984,13224,382,10301,9233,2,1,158,4,0,0,199,16,4,0,13,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,326,0,0,9111,1178,200,0,9104,22,40,0,8299,463,0,0,8453,329,521,0,8444,1526,0,0,8000,8400,5005,5008,5003,1
4,5,False,1054,3044,1028,3047,3101,1036,3340,2,7,2,0,1,0,303,0,0,0,0,0,65607,0,53875,11731,0,12984,0,10716,2268,518,1,17191,970,0,11,23,19404,2086,17046,272,6321,5275,0,0,95,7,5,0,158,12,1,0,7,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,261,0,0,9111,410,80,0,9104,0,0,0,8299,521,0,0,8473,608,0,0,8453,121,488,0,8000,8400,5005,5008,5002,1
5,10,True,2421,3078,3111,3053,3812,3065,3340,10,2,10,6,2,2,1866,2,0,0,0,0,213629,158,185923,27547,0,36203,78,28975,7150,19009,1,81869,16718,8660,28,45,46569,16314,23491,6762,17590,15733,3,0,217,28,11,9,306,18,2,0,15,4,False,False,True,False,False,True,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8010,2327,0,0,9111,2421,400,0,9105,13,30,0,8299,1378,0,0,8473,929,0,0,8453,1484,1371,0,8000,8400,5005,5008,5002,1
6,10,True,3053,3078,3812,3047,1028,1029,3340,8,5,13,3,1,3,592,0,0,0,0,0,106895,0,88522,18373,0,21994,0,17498,4496,6305,1,28937,10167,5804,17,30,26440,15469,8718,2253,12853,12608,2,0,146,8,0,0,215,16,1,0,9,3,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1111,0,0,9111,1646,420,0,9105,19,0,0,8014,449,0,0,8304,9,4,5,8345,3,0,0,8000,8300,5005,5008,5003,1
7,10,True,3387,3143,3075,3373,3047,3067,3340,8,4,14,5,1,2,848,0,0,0,0,0,137415,69673,65137,2605,65,21831,14868,6963,0,11014,1,46353,10780,4976,32,51,35561,14528,13834,7198,13466,13500,0,0,176,8,4,0,756,17,2,0,13,0,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,1157,844,0,8446,3227,0,0,8429,71,36,11,8451,253,0,0,8304,10,3,0,8345,3,0,0,8400,8300,5007,5002,5002,1
8,10,False,3193,3379,3075,3373,1028,3047,3340,3,3,7,2,1,1,1202,0,0,0,0,0,175228,99711,74720,796,49,24131,16243,7091,796,4565,1,63121,5853,3962,37,50,30256,7634,21265,1356,13203,13075,1,0,228,5,0,5,705,17,3,0,16,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,954,801,0,8446,3134,0,0,8429,74,36,25,8451,276,0,0,8304,11,1,5,8345,3,0,0,8400,8300,5007,5003,5002,1
9,5,False,3800,1031,3379,1057,3111,3373,3340,5,6,7,3,1,1,639,0,0,0,0,0,140455,77543,53152,9760,0,24368,16878,7369,120,2646,1,54423,1473,1357,34,58,33553,7113,23685,2753,11903,11595,1,0,201,0,0,0,564,16,5,0,16,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,1099,974,0,8446,692,0,0,8429,70,25,18,8451,257,0,0,8304,12,0,0,8345,3,0,0,8400,8300,5007,5002,5002,1
