queueId,week,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills,gamesPlayed
Flex,1.0,0.78,0.56,0.56,0.67,0.56,0.33,0.67,7.44,2.22,0.78,2.11,1.11,9.0
Clash,2.0,0.67,0.5,0.67,0.83,0.33,0.83,0.83,8.33,1.83,0.67,3.5,1.67,6.0
Flex,2.0,0.4,0.6,0.8,0.6,0.4,0.8,0.6,5.8,1.2,0.6,2.2,1.2,5.0
Flex,3.0,0.5,0.62,0.38,0.38,0.5,0.38,0.5,5.75,1.0,1.0,2.25,0.88,8.0
Flex,4.0,0.57,0.86,0.57,0.29,0.43,0.43,0.71,4.86,0.57,0.57,1.71,0.86,7.0
Flex,5.0,0.64,0.36,0.73,0.45,0.64,0.55,0.73,6.09,1.09,0.82,2.64,1.09,11.0
Clash,6.0,0.67,0.67,0.83,0.67,0.67,0.17,1.0,6.0,1.33,1.0,2.17,1.17,6.0
Flex,6.0,0.67,0.0,1.0,0.33,0.67,0.67,0.67,5.33,0.67,0.67,3.0,1.33,3.0
Flex,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,1.0
Flex,8.0,0.0,0.67,0.33,0.0,0.0,0.0,0.33,1.33,0.0,0.0,1.0,0.67,3.0
Clash,9.0,0.33,0.67,0.67,0.33,0.33,0.67,1.0,4.0,0.67,0.33,1.67,1.0,3.0
Flex,9.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0
